theta        omega       
2.91289279   -0.22468136 
2.89637109   -0.24133409 
2.87862874   -0.25916708 
2.85957793   -0.27826132 
2.83912467   -0.29870183 
2.81716879   -0.32057766 
2.79360392   -0.34398190 
2.76831750   -0.36901167 
2.74119078   -0.39576813 
2.71209883   -0.42435647 
2.68091052   -0.45488590 
2.64748906   -0.48746851 
2.61174198   -0.52210459 
2.57350924   -0.55891919 
2.53258093   -0.59811830 
2.48875203   -0.63986679 
2.44182241   -0.68428840 
2.39159683   -0.73146573 
2.33788496   -0.78144028 
2.28050134   -0.83421240 
2.21926542   -0.88974132 
2.15400152   -0.94794514 
2.08453888   -1.00870084 
2.01071161   -1.07184425 
1.93235872   -1.13717012 
1.84932411   -1.20443202 
1.76145658   -1.27334242 
1.66861721   -1.34368349 
1.57072844   -1.41505772 
1.46777749   -1.48643153 
1.35981381   -1.55677377 
1.24694942   -1.62508456 
1.12935895   -1.69039531 
1.00727962   -1.75176869 
0.88101125   -1.80829866 
0.75091627   -1.85911045 
0.61741967   -1.90336057 
0.48100906   -1.94023681 
0.34223466   -1.96895824 
0.20170927   -1.98877519 
0.06010827   -1.99896929 
-0.08183033  -1.99885344 
-0.22333507  -1.98809774 
-0.36370791  -1.96755270 
-0.50227243  -1.93785101 
-0.63841039  -1.89968261 
-0.77156505  -1.85383398 
-0.90124120  -1.80118815 
-1.02700513  -1.74272466 
-1.14848467  -1.67951962 
-1.26536916  -1.61274565 
-1.37740945  -1.54367191 
-1.48444004  -1.47343884 
-1.58643940  -1.40260034 
-1.68342345  -1.33185161 
-1.77543328  -1.26181739 
-1.86253625  -1.19303586 
-1.94482594  -1.12595872 
-2.02242215  -1.06095109 
-2.09547095  -0.99829160 
-2.16414462  -0.93817232 
-2.22864168  -0.88069883 
-2.28918514  -0.82592478 
-2.34597584  -0.77388919 
-2.39918831  -0.72455958 
-2.44899601  -0.67789116 
-2.49557160  -0.63382842 
-2.53908692  -0.59230516 
-2.57971304  -0.55324447 
-2.61762024  -0.51655876 
-2.65297799  -0.48214969 
-2.68595497  -0.44990828 
-2.71671909  -0.41971479 
-2.74543742  -0.39143883 
-2.77226629  -0.36494712 
-2.79730864  -0.34014464 
-2.82066155  -0.31694468 
-2.84242116  -0.29526099 
-2.86268143  -0.27500855 
-2.88153420  -0.25610356 
-2.89906915  -0.23846343 
-2.91537380  -0.22200681 
-2.93053352  -0.20665355 
-2.94463154  -0.19232475 
-2.95774891  -0.17894271 
-2.96996455  -0.16643095 
-2.98135074  -0.15471812 
-2.99194719  -0.14376144 
-3.00179630  -0.13351722 
-3.01094153  -0.12394081 
-3.01942495  -0.11498874 
-3.02728718  -0.10661864 
-3.03456743  -0.09878933 
-3.04130349  -0.09146074 
-3.04753172  -0.08459397 
-3.05328705  -0.07815124 
-3.05860302  -0.07209592 
-3.06351131  -0.06639291 
-3.06803364  -0.06101627 
-3.07218795  -0.05594395 
-3.07599250  -0.05115328 
-3.07946470  -0.04662203 
-3.08262111  -0.04232834 
-3.08547744  -0.03825078 
-3.08804852  -0.03436831 
-3.09034835  -0.03066030 
-3.09239006  -0.02710653 
-3.09418592  -0.02368717 
-3.09574724  -0.02038290 
-3.09708070  -0.01717785 
-3.09819095  -0.01405821 
-3.09908256  -0.01100964 
-3.09975935  -0.00801760 
-3.10022432  -0.00506742 
-3.10047969  -0.00214420 
-3.10052691  0.00076709  
-3.10036663  0.00368170  
-3.09999869  0.00661502  
-3.09942218  0.00958265  
-3.09863514  0.01260027  
-3.09763244  0.01568252  
-3.09640856  0.01884387  
-3.09495724  0.02209961  
-3.09327102  0.02546586  
-3.09134127  0.02895958  
-3.08915820  0.03259855  
-3.08671084  0.03640135  
-3.08398704  0.04038741  
-3.08097347  0.04457698  
-3.07765509  0.04899168  
-3.07401437  0.05365441  
-3.07003377  0.05858698  
-3.06569373  0.06381302  
-3.06097247  0.06935822  
-3.05584606  0.07525028  
-3.05028834  0.08151896  
-3.04427097  0.08819604  
-3.03776343  0.09531533  
-3.03073298  0.10291269  
-3.02314470  0.11102600  
-3.01496149  0.11969520  
-3.00614267  0.12896318  
-2.99664111  0.13887765  
-2.98641199  0.14948512  
-2.97540636  0.16083570  
-2.96357028  0.17298360  
-2.95084486  0.18598717  
-2.93716622  0.19990888  
-2.92246555  0.21481532  
-2.90666904  0.23077722  
-2.88969794  0.24786943  
-2.87146852  0.26617091  
-2.85189209  0.28576477  
-2.83087499  0.30673823  
-2.80831860  0.32918264  
-2.78412151  0.35318762  
-2.75818959  0.37880986  
-2.73039161  0.40618211  
-2.70058425  0.43544590  
-2.66861971  0.46673141  
-2.63434568  0.50015754  
-2.59760538  0.53583182  
-2.55823755  0.57385047  
-2.51607643  0.61429840  
-2.47095176  0.65724917  
-2.42268882  0.70276502  
-2.37110839  0.75089689  
-2.31602674  0.80168435  
-2.25725570  0.85515569  
-2.19460256  0.91132783  
-2.12787045  0.97020595  
-2.05696119  1.03159563  
-1.98169176  1.09528472  
-1.90180927  1.16111725  
-1.81711593  1.22883544  
-1.72746909  1.29807967  
-1.63278122  1.36838853  
-1.53301994  1.43919878  
-1.42820794  1.50984534  
-1.31842309  1.57956135  
-1.20379836  1.64747811  
-1.08452185  1.71262510  
-0.96083676  1.77392999  
-0.83304147  1.83021862  
-0.70148943  1.88021502  
-0.56658978  1.92254471  
-0.42892276  1.95641870  
-0.28917044  1.98134377  
-0.14799153  1.99671546  
-0.00606948  2.00216607  
0.13588746   1.99756464  
